"id","url","quality_score","band","public","blockers","evidence"
"aconcagua-provincial-park","/baza-znaniy/aconcagua-provincial-park","100","ready","yes","none","publication-quality.ts strict readiness"
"aep-eze-stykovka","/baza-znaniy/aep-eze-stykovka","100","ready","no","none","publication-quality.ts strict readiness"
"aeroporty","/baza-znaniy/aeroporty","100","ready","yes","none","publication-quality.ts strict readiness"
"aktualen-li-blue-dollar","/baza-znaniy/aktualen-li-blue-dollar","60","review","no","sensitive_provenance_not_ready","publication-quality.ts strict readiness"
"alero-charcamata","/baza-znaniy/alero-charcamata","100","ready","no","none","publication-quality.ts strict readiness"
"alersesy-skrytye-ozyora","/baza-znaniy/alersesy-skrytye-ozyora","100","ready","no","none","publication-quality.ts strict readiness"
"almacenes-de-ramos-generales-en-la-pampa","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","100","ready","no","none","publication-quality.ts strict readiness"
"alumine","/baza-znaniy/alumine","100","ready","no","none","publication-quality.ts strict readiness"
"amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","100","ready","yes","none","publication-quality.ts strict readiness"
"andinismo-y-montanismo-en-neuquen","/baza-znaniy/andinismo-y-montanismo-en-neuquen","100","ready","no","none","publication-quality.ts strict readiness"
"angastaco","/baza-znaniy/angastaco","100","ready","no","none","publication-quality.ts strict readiness"
"antofagasta-de-la-sierra","/baza-znaniy/antofagasta-de-la-sierra","100","ready","no","none","publication-quality.ts strict readiness"
"apostil-i-perevod-dokumentov","/baza-znaniy/apostil-i-perevod-dokumentov","100","ready","no","none","publication-quality.ts strict readiness"
"area-natural-protegida-rio-limay","/baza-znaniy/area-natural-protegida-rio-limay","100","ready","no","none","publication-quality.ts strict readiness"
"arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","100","ready","yes","none","publication-quality.ts strict readiness"
"argentina-10-dney","/baza-znaniy/argentina-10-dney","100","ready","yes","none","publication-quality.ts strict readiness"
"argentina-2-nedeli","/baza-znaniy/argentina-2-nedeli","100","ready","yes","none","publication-quality.ts strict readiness"
"argentina-3-nedeli","/baza-znaniy/argentina-3-nedeli","100","ready","yes","none","publication-quality.ts strict readiness"
"argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","100","ready","yes","none","publication-quality.ts strict readiness"
"arte-urbano-en-buenos-aires","/baza-znaniy/arte-urbano-en-buenos-aires","100","ready","no","none","publication-quality.ts strict readiness"
"artesania-formosena","/baza-znaniy/artesania-formosena","100","ready","no","none","publication-quality.ts strict readiness"
"asado","/baza-znaniy/asado","100","ready","yes","none","publication-quality.ts strict readiness"
"astroturismo-en-san-juan","/baza-znaniy/astroturismo-en-san-juan","100","ready","no","none","publication-quality.ts strict readiness"
"autodromo-internacional-de-rio-hondo","/baza-znaniy/autodromo-internacional-de-rio-hondo","100","ready","no","none","publication-quality.ts strict readiness"
"avellaneda","/baza-znaniy/avellaneda","100","ready","no","none","publication-quality.ts strict readiness"
"aventura-en-la-patagonia-andina","/baza-znaniy/aventura-en-la-patagonia-andina","100","ready","no","none","publication-quality.ts strict readiness"
"aventura-submarina-en-puerto-madryn","/baza-znaniy/aventura-submarina-en-puerto-madryn","100","ready","no","none","publication-quality.ts strict readiness"
"aves-del-chaco","/baza-znaniy/aves-del-chaco","100","ready","yes","none","publication-quality.ts strict readiness"
"avistaje-de-aves-en-formosa","/baza-znaniy/avistaje-de-aves-en-formosa","100","ready","no","none","publication-quality.ts strict readiness"
"avistaje-de-aves-en-la-pampa","/baza-znaniy/avistaje-de-aves-en-la-pampa","100","ready","no","none","publication-quality.ts strict readiness"
"avistaje-de-aves-en-santa-cruz","/baza-znaniy/avistaje-de-aves-en-santa-cruz","100","ready","no","none","publication-quality.ts strict readiness"
"ba-rajony-realnyj-vybor","/baza-znaniy/ba-rajony-realnyj-vybor","100","ready","no","none","publication-quality.ts strict readiness"
"bahia-blanca","/baza-znaniy/bahia-blanca","100","ready","yes","none","publication-quality.ts strict readiness"
"banado-la-estrella","/baza-znaniy/banado-la-estrella","100","ready","yes","none","publication-quality.ts strict readiness"
"banki-i-perevody","/baza-znaniy/banki-i-perevody","100","ready","yes","none","publication-quality.ts strict readiness"
"bankovskij-schet","/baza-znaniy/bankovskij-schet","100","ready","no","none","publication-quality.ts strict readiness"
"bariloche","/baza-znaniy/bariloche","100","ready","yes","none","publication-quality.ts strict readiness"
"bariloche-tihie-smotrovye","/baza-znaniy/bariloche-tihie-smotrovye","100","ready","no","none","publication-quality.ts strict readiness"
"barreal","/baza-znaniy/barreal","100","ready","no","none","publication-quality.ts strict readiness"
"bebidas-y-gastronomia-en-cordoba","/baza-znaniy/bebidas-y-gastronomia-en-cordoba","100","ready","no","none","publication-quality.ts strict readiness"
"belen","/baza-znaniy/belen","100","ready","no","none","publication-quality.ts strict readiness"
