"asset_id","local_path","role","contexts","exists","width","height","format","alt_recorded","caption_recorded","rights_metadata_complete","issue_codes","highest_severity","status","owner","evidence"
"place-buenos-aires-hero","media/places/buenos-aires/hero.jpg","hero","literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;page:excursions:index:hero;page:guide:ob-argentine:hero;place:buenos-aires:cover;place:buenos-aires:gallery;social:post-iv-ba-1","yes","2340","4160","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-buenos-aires-gallery-1","media/places/buenos-aires/gallery-1.jpg","gallery","blog:buenos-aires-за-3-дня:card;blog:buenos-aires-за-3-дня:hero;blog:buenos-aires-с-гидом:card;blog:buenos-aires-с-гидом:hero;literal:src/lib/blog-post-image-bindings.ts;place:buenos-aires:gallery;social:post-iv-ba-2","yes","1920","2560","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-buenos-aires-gallery-2","media/places/buenos-aires/gallery-2.jpg","gallery","blog:buenos-aires-советы-новичкам:card;blog:buenos-aires-советы-новичкам:hero;literal:src/lib/blog-post-image-bindings.ts;place:buenos-aires:gallery;social:post-iv-ba-3","yes","1920","2560","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-buenos-aires-gallery-3","media/places/buenos-aires/gallery-3.jpg","gallery","literal:src/lib/blog-post-image-bindings.ts;place:buenos-aires:gallery","yes","2560","1047","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-buenos-aires-gallery-4","media/places/buenos-aires/gallery-4.jpg","gallery","literal:src/lib/blog-post-image-bindings.ts;place:buenos-aires:gallery","yes","958","1434","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-ushuaia-hero","media/places/ushuaia/hero.jpg","hero","blog:patagonia-за-5-дней:card;blog:patagonia-за-5-дней:hero;blog:patagonia-за-7-дней:card;blog:patagonia-за-7-дней:hero;literal:src/lib/blog-post-image-bindings.ts;place:ushuaia:cover;place:ushuaia:gallery","yes","2560","1387","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-ushuaia-gallery-1","media/places/ushuaia/gallery-1.jpg","gallery","literal:src/lib/blog-post-image-bindings.ts;place:ushuaia:gallery","yes","1620","1080","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-ushuaia-gallery-2","media/places/ushuaia/gallery-2.jpg","gallery","place:ushuaia:gallery","yes","900","735","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-ushuaia-gallery-3","media/places/ushuaia/gallery-3.jpg","gallery","place:ushuaia:gallery","yes","1024","768","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-ushuaia-gallery-1","media/argentina-travel/ushuaia/1637246470093-ushuaia___bahia___monta_a_nieve__andrescamacho__19_.jpg","gallery","kb:ushuaia:gallery;place:ushuaia:gallery","yes","1600","1068","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
