id,type,url,title,status,word_count,threshold,gap_words,quality_score,severity,recommended_action,source_path,evidence
kb:patagonia-yug,route,/baza-znaniy/patagonia-yug,"Юг Патагонии: ледники, Фицрой и край света",published,304,800,496,85,medium,DEEP_REWRITE,content/knowledge-base/marshruty/patagonia-yug.md,word_count=304; type_threshold=800
kb:tierra-del-fuego,region,/baza-znaniy/tierra-del-fuego,Огненная Земля,published,304,800,496,85,medium,DEEP_REWRITE,content/knowledge-base/regiony/tierra-del-fuego.md,word_count=304; type_threshold=800
kb:trevelin,attraction,/baza-znaniy/trevelin,Тревелин,published,20,500,480,41,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/trevelin.md,word_count=20; type_threshold=500
kb:villavicencio,attraction,/baza-znaniy/villavicencio,Вильявисенсио,published,20,500,480,41,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/villavicencio.md,word_count=20; type_threshold=500
kb:noa-kolco,route,/baza-znaniy/noa-kolco,"Кольцо по Северо-Западу (NOA): Сальта, долины и Жужуй",published,322,800,478,85,medium,DEEP_REWRITE,content/knowledge-base/marshruty/noa-kolco.md,word_count=322; type_threshold=800
kb:ruinas-de-quilmes,attraction,/baza-znaniy/ruinas-de-quilmes,Руины Кильмес,published,22,500,478,41,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/ruinas-de-quilmes.md,word_count=22; type_threshold=500
kb:mar-de-las-pampas,attraction,/baza-znaniy/mar-de-las-pampas,Мар-де-лас-Пампас,published,24,500,476,41,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/mar-de-las-pampas.md,word_count=24; type_threshold=500
kb:cerros-catedral-y-perito-moreno,attraction,/baza-znaniy/cerros-catedral-y-perito-moreno,Cerros Catedral y Перито-Морено,published,25,500,475,76,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/cerros-catedral-y-perito-moreno.md,word_count=25; type_threshold=500
place:mar-del-plata,place,/places/mar-del-plata,Мар-дель-Плата,published,25,500,475,26,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=25; type_threshold=500
kb:cabalgatas-en-la-estepa-de-bariloche,attraction,/baza-znaniy/cabalgatas-en-la-estepa-de-bariloche,Cabalgatas en la estepa de Барилоче,published,26,500,474,76,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/cabalgatas-en-la-estepa-de-bariloche.md,word_count=26; type_threshold=500
kb:vinnyy-marshrut,route,/baza-znaniy/vinnyy-marshrut,Винный маршрут: Мендоса и высокогорный север,published,327,800,473,85,medium,DEEP_REWRITE,content/knowledge-base/marshruty/vinnyy-marshrut.md,word_count=327; type_threshold=800
content-page:immigration:prodlenie-turisticheskogo-vizita,immigration,/immigration/prodlenie-turisticheskogo-vizita,Продление туристического пребывания,published,127,600,473,37,high,DEEP_REWRITE,src/data/immigration-content.ts,word_count=127; type_threshold=600
place:nahuel-huapi-national-park,place,/places/nahuel-huapi-national-park,Национальный парк Nahuel Huapi,published,27,500,473,26,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=27; type_threshold=500
place:valdes-peninsula,place,/places/valdes-peninsula,Полуостров Вальдес,published,29,500,471,26,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=29; type_threshold=500
place:cerro-de-los-7-colores,place,/places/cerro-de-los-7-colores,Cerro de los Siete Colores,published,30,500,470,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=30; type_threshold=500
place:puerto-madryn,place,/places/puerto-madryn,Пуэрто-Мадрин,published,30,500,470,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=30; type_threshold=500
place:santa-rosa,place,/places/santa-rosa,Санта-Роса,published,30,500,470,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=30; type_threshold=500
place:salta,place,/places/salta,Сальта,published,32,500,468,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=32; type_threshold=500
place:los-glaciares-national-park,place,/places/los-glaciares-national-park,Национальный парк Los Glaciares,published,33,500,467,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=33; type_threshold=500
place:catamarca,place,/places/catamarca,Катамарка,published,34,500,466,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=34; type_threshold=500
place:iguazu-falls,place,/places/iguazu-falls,Водопады Игуасу,published,34,500,466,47,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=34; type_threshold=500
place:san-luis,place,/places/san-luis,Сан-Луис,published,34,500,466,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=34; type_threshold=500
place:tierra-del-fuego-national-park,place,/places/tierra-del-fuego-national-park,Национальный парк Tierra del Fuego,published,34,500,466,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=34; type_threshold=500
place:el-calafate,place,/places/el-calafate,Эль-Калафате,published,35,500,465,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=35; type_threshold=500
place:fitz-roy,place,/places/fitz-roy,"Фиц-Рой (Fitz Roy, Cerro Chaltén)",published,36,500,464,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=36; type_threshold=500
place:la-rioja,place,/places/la-rioja,Ла-Риоха,published,36,500,464,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=36; type_threshold=500
place:tren-de-las-nubes,place,/places/tren-de-las-nubes,Поезд в облака (Tren a las Nubes),published,36,500,464,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=36; type_threshold=500
place:purmamarca,place,/places/purmamarca,Пурмамарка,published,37,500,463,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=37; type_threshold=500
place:termas-de-rio-hondo,place,/places/termas-de-rio-hondo,Термас-де-Рио-Ондо,published,37,500,463,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=37; type_threshold=500
place:cueva-de-las-manos,place,/places/cueva-de-las-manos,Cueva de las Manos,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:potrerillos,place,/places/potrerillos,Potrerillos,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:sierra-de-las-quijadas,place,/places/sierra-de-las-quijadas,Национальный парк Сьерра-де-лас-Кихадас,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:uco-valley,place,/places/uco-valley,Valle de Uco,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:lujan-de-cuyo,place,/places/lujan-de-cuyo,Luján de Cuyo,published,39,500,461,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=39; type_threshold=500
place:maipu,place,/places/maipu,Maipú,published,39,500,461,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=39; type_threshold=500
place:el-chalten,place,/places/el-chalten,Эль-Чалтен,published,40,500,460,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=40; type_threshold=500
kb:buenos-aires-province,region,/baza-znaniy/buenos-aires-province,Провинция Буэнос-Айрес,published,341,800,459,86,medium,DEEP_REWRITE,content/knowledge-base/regiony/buenos-aires-province.md,word_count=341; type_threshold=800
place:bariloche,place,/places/bariloche,Барилоче,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:mendoza,place,/places/mendoza,Мендоса,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:parque-nacional-chaco,place,/places/parque-nacional-chaco,Национальный парк Чако,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:mar-de-las-pampas,place,/places/mar-de-las-pampas,Мар-де-лас-Пампас,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:ruinas-de-quilmes,place,/places/ruinas-de-quilmes,Руины Кильмес,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:santiago-del-estero,place,/places/santiago-del-estero,Сантьяго-дель-Эстеро,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:villa-gesell,place,/places/villa-gesell,Вилья-Хесель,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:formosa,place,/places/formosa,Формоса,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:lihue-calel,place,/places/lihue-calel,Национальный парк Лиуэ-Калель,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:los-cardones,place,/places/los-cardones,Национальный парк Лос-Кардонес,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:mercedes-corrientes,place,/places/mercedes-corrientes,Мерседес (Корриентес),published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:puerto-deseado,place,/places/puerto-deseado,Пуэрто-Десеадо,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:san-antonio-de-areco,place,/places/san-antonio-de-areco,Сан-Антонио-де-Ареко,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:san-rafael,place,/places/san-rafael,Сан-Рафаэль,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:ushuaia,place,/places/ushuaia,Ушуайя,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
